virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence
438782	Abaca bunchy top virus	Viruses; ssDNA viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319				46838	Musa sp.	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature, RefSeq
438782	Abaca bunchy top virus	Viruses; ssDNA viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319				214697	Musa acuminata AAA Group	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; unclassified Herpesvirales	NC_018874				6451	Haliotidae	Eukaryota; Metazoa; Mollusca; Gastropoda; Haliotoidea		UniProt
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; unclassified Herpesvirales	NC_018874				36100	Haliotis rubra	Eukaryota; Metazoa; Mollusca; Gastropoda; Haliotoidea; Haliotidae; Haliotis		RefSeq
491893	Abalone shriveling syndrome-associated virus	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses	NC_011646				37770	Haliotis diversicolor aquatilis	Eukaryota; Metazoa; Mollusca; Gastropoda; Haliotoidea; Haliotidae; Haliotis; Haliotis diversicolor		RefSeq
11788	Abelson murine leukemia virus	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified Gammaretrovirus	NC_001499				10090	Mus musculus	Eukaryota; Metazoa; Chordata; Craniata; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Muridae; Murinae; Mus; Mus		UniProt
2025595	Abisko virus	Viruses; unclassified RNA viruses	NC_035470				201501	Epirrita autumnata	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Geometroidea; Geometridae; Larentiinae; Epirrita		RefSeq
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	20349251	Literature, RefSeq
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				4100	Nicotiana benthamiana	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; asterids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana	20349251	Literature
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139				145753	Malva parviflora	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Malva	20349251	Literature
932071	Abutilon mosaic Bolivia virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_015045, NC_015048				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	21170729	Literature, RefSeq
1046572	Abutilon mosaic Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577				108377	Sida rhombifolia	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Sida		RefSeq
1046572	Abutilon mosaic Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577				243762	Blainvillea rhomboidea	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; asterids; Asterales; Asteraceae; Asteroideae; Heliantheae; Blainvillea		RefSeq
