taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,NCBI Taxon ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Host Name,Isolation,Isolation Country,Genome Size   * assembled,Gene Count   * assembled
642973599,Virus,Finished,Pseudomonas phage PAJU2,Pseudomonas phage PAJU2,Kochi Medical School,642973599,504346,,,,,,Pseudomonas aeruginosa,,,46872,79
2597490329,Virus,Permanent Draft,Okra enation leaf curl alphasatellite,Okra enation leaf curl alphasatellite,Madurai Kamaraj University,2597490329,1249467,,,,,,Abelmoschus esculentus,,,1350,1
2711768813,Virus,Draft,Pan troglodytes verus polyomavirus 2a RefSeq Genome,Pan troglodytes verus polyomavirus 2a 6512,Robert Koch Institute (RKI),2711768813,928212,Host-associated,Mammals,,,,Pan troglodytes,,,5309,5
2738541828,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei sobemo-like virus 24 WHLC5390,"BGI Tech Solutions Co., Ltd.",2738541828,1923210,Host-associated,Arthropoda,,,,,,China,2223,2
2738541470,Virus,Draft,Redefining the invertebrate RNA virosphere,Beihai noda-like virus 11 BHJJX49550,"BGI Tech Solutions Co., Ltd.",2738541470,1922464,Host-associated,Arthropoda,,,,Anomura,,China,4369,2
650627060,Virus,Finished,Murine adenovirus 2,Murine adenovirus 2,Hungarian Academy of Sciences (HAS),650627060,931972,,,,,,Mus musculus,,,35203,27
2706795539,Virus,Draft,Sumatran orang-utan polyomavirus RefSeq Genome,Sumatran orang-utan polyomavirus Pi,"Biomedical Primate Research Centre, Netherlands",2706795539,1604875,Host-associated,Mammals,,,,Orang-utan,,,5358,5
2595698813,Virus,Finished,Brucella phage Pr,Brucella phage Pr,"Cinvestav, Irapuato",2595698813,1133293,,,,,,Brucella melitensis 16M,,,38253,57
645948514,Virus,Finished,Simian picornavirus strain N203,Simian picornavirus strain N203,"Centers for Disease Control and Prevention (CDC), USA",645948514,184754,,,,,,Papio anubis,,,7379,1
2738542280,Virus,Draft,Redefining the invertebrate RNA virosphere,Beihai picorna-like virus 54 BHNXC41489,"BGI Tech Solutions Co., Ltd.",2738542280,1922599,Host-associated,Annelida,,,,,,China,10040,2
638276045,Virus,Finished,Erysimum latent virus,Erysimum latent virus,Australian National University,638276045,12152,,,,,,Erysimum,,,6035,3
